goos: darwin
goarch: arm64
pkg: in-memory-key-value-db/internal/database/storage/in_memory
cpu: Apple M4
BenchmarkMixed_ByWritePct/single/writes=1%-10         	11288565	       107.7 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/single/writes=1%-10         	11712744	       104.0 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/single/writes=1%-10         	11775697	       103.7 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/single/writes=1%-10         	11670568	       103.6 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/single/writes=1%-10         	11598895	       103.6 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/single/writes=1%-10         	11890306	       103.3 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/single/writes=1%-10         	11652780	       115.0 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/single/writes=1%-10         	11663880	       114.5 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/single/writes=1%-10         	11795659	       103.8 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/single/writes=1%-10         	11766286	       102.9 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/partitioned/writes=1%-10    	14368675	        76.57 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/partitioned/writes=1%-10    	15964514	        75.16 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/partitioned/writes=1%-10    	15852422	        77.78 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/partitioned/writes=1%-10    	15957145	        74.83 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/partitioned/writes=1%-10    	16080454	        86.18 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/partitioned/writes=1%-10    	15855328	        76.36 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/partitioned/writes=1%-10    	15445497	        78.82 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/partitioned/writes=1%-10    	16053850	        74.52 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/partitioned/writes=1%-10    	15940876	        73.45 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/partitioned/writes=1%-10    	15805009	        78.02 ns/op	      15 B/op	       1 allocs/op
BenchmarkMixed_ByWritePct/sync/writes=1%-10           	32442916	        46.20 ns/op	      16 B/op	       2 allocs/op
BenchmarkMixed_ByWritePct/sync/writes=1%-10           	31474893	        42.49 ns/op	      16 B/op	       2 allocs/op
BenchmarkMixed_ByWritePct/sync/writes=1%-10           	32009992	        41.97 ns/op	      16 B/op	       2 allocs/op
